------------------------------------
Optical Potential Information
------------------------------------
    r [fm]   V_real [MeV]   V_imag [MeV]  SO_real [MeV]  SO_imag [MeV]  Coulomb [MeV] 1/r^2 [1/fm^2]
         0      0.0463934              0              0              0              0              0
     0.001      0.0463924              0              0              0              0          1e+06
     0.002      0.0463914              0              0              0              0         250000
     0.003      0.0463904              0              0              0              0         111111
     0.004      0.0463894              0              0              0              0          62500
     0.005      0.0463885              0              0              0              0          40000
     0.006      0.0463875              0              0              0              0        27777.8
     0.007      0.0463865              0              0              0              0        20408.2
     0.008      0.0463855              0              0              0              0          15625
     0.009      0.0463845              0              0              0              0        12345.7
      0.01      0.0463835              0              0              0              0          10000
     0.011      0.0463825              0              0              0              0        8264.46
     0.012      0.0463815              0              0              0              0        6944.44
     0.013      0.0463805              0              0              0              0        5917.16
     0.014      0.0463795              0              0              0              0        5102.04
     0.015      0.0463785              0              0              0              0        4444.44
     0.016      0.0463775              0              0              0              0        3906.25
     0.017      0.0463765              0              0              0              0        3460.21
     0.018      0.0463754              0              0              0              0        3086.42
     0.019      0.0463744              0              0              0              0        2770.08
      0.02      0.0463734              0              0              0              0           2500
     0.021      0.0463724              0              0              0              0        2267.57
     0.022      0.0463714              0              0              0              0        2066.12
     0.023      0.0463704              0              0              0              0        1890.36
     0.024      0.0463694              0              0              0              0        1736.11
     0.025      0.0463684              0              0              0              0           1600
     0.026      0.0463674              0              0              0              0        1479.29
     0.027      0.0463663              0              0              0              0        1371.74
     0.028      0.0463653              0              0              0              0        1275.51
     0.029      0.0463643              0              0              0              0        1189.06
      0.03      0.0463633              0              0              0              0        1111.11
     0.031      0.0463623              0              0              0              0        1040.58
     0.032      0.0463613              0              0              0              0        976.562
     0.033      0.0463602              0              0              0              0        918.274
     0.034      0.0463592              0              0              0              0        865.052
     0.035      0.0463582              0              0              0              0        816.327
     0.036      0.0463572              0              0              0              0        771.605
     0.037      0.0463561              0              0              0              0         730.46
     0.038      0.0463551              0              0              0              0        692.521
     0.039      0.0463541              0              0              0              0        657.462
      0.04      0.0463531              0              0              0              0            625
     0.041       0.046352              0              0              0              0        594.884
     0.042       0.046351              0              0              0              0        566.893
     0.043        0.04635              0              0              0              0        540.833
     0.044      0.0463489              0              0              0              0        516.529
     0.045      0.0463479              0              0              0              0        493.827
     0.046      0.0463469              0              0              0              0         472.59
     0.047      0.0463458              0              0              0              0        452.694
     0.048      0.0463448              0              0              0              0        434.028
     0.049      0.0463438              0              0              0              0        416.493
      0.05      0.0463427              0              0              0              0            400
     0.051      0.0463417              0              0              0              0        384.468
     0.052      0.0463406              0              0              0              0        369.822
     0.053      0.0463396              0              0              0              0        355.999
     0.054      0.0463386              0              0              0              0        342.936
     0.055      0.0463375              0              0              0              0        330.579
     0.056      0.0463365              0              0              0              0        318.878
     0.057      0.0463354              0              0              0              0        307.787
     0.058      0.0463344              0              0              0              0        297.265
     0.059      0.0463333              0              0              0              0        287.274
      0.06      0.0463323              0              0              0              0        277.778
     0.061      0.0463312              0              0              0              0        268.745
     0.062      0.0463302              0              0              0              0        260.146
     0.063      0.0463291              0              0              0              0        251.953
     0.064      0.0463281              0              0              0              0        244.141
     0.065       0.046327              0              0              0              0        236.686
     0.066       0.046326              0              0              0              0        229.568
     0.067      0.0463249              0              0              0              0        222.767
     0.068      0.0463239              0              0              0              0        216.263
     0.069      0.0463228              0              0              0              0         210.04
      0.07      0.0463218              0              0              0              0        204.082
     0.071      0.0463207              0              0              0              0        198.373
     0.072      0.0463196              0              0              0              0        192.901
     0.073      0.0463186              0              0              0              0        187.652
     0.074      0.0463175              0              0              0              0        182.615
     0.075      0.0463165              0              0              0              0        177.778
     0.076      0.0463154              0              0              0              0         173.13
     0.077      0.0463143              0              0              0              0        168.663
     0.078      0.0463133              0              0              0              0        164.366
     0.079      0.0463122              0              0              0              0        160.231
      0.08      0.0463111              0              0              0              0         156.25
     0.081      0.0463101              0              0              0              0        152.416
     0.082       0.046309              0              0              0              0        148.721
     0.083      0.0463079              0              0              0              0        145.159
     0.084      0.0463068              0              0              0              0        141.723
     0.085      0.0463058              0              0              0              0        138.408
     0.086      0.0463047              0              0              0              0        135.208
     0.087      0.0463036              0              0              0              0        132.118
     0.088      0.0463025              0              0              0              0        129.132
     0.089      0.0463015              0              0              0              0        126.247
      0.09      0.0463004              0              0              0              0        123.457
     0.091      0.0462993              0              0              0              0        120.758
     0.092      0.0462982              0              0              0              0        118.147
     0.093      0.0462971              0              0              0              0         115.62
     0.094      0.0462961              0              0              0              0        113.173
     0.095       0.046295              0              0              0              0        110.803
     0.096      0.0462939              0              0              0              0        108.507
     0.097      0.0462928              0              0              0              0        106.281
     0.098      0.0462917              0              0              0              0        104.123
     0.099      0.0462906              0              0              0              0         102.03
       0.1      0.0462896              0              0              0              0            100
     0.101      0.0462885              0              0              0              0        98.0296
     0.102      0.0462874              0              0              0              0        96.1169
     0.103      0.0462863              0              0              0              0        94.2596
     0.104      0.0462852              0              0              0              0        92.4556
     0.105      0.0462841              0              0              0              0        90.7029
     0.106       0.046283              0              0              0              0        88.9996
     0.107      0.0462819              0              0              0              0        87.3439
     0.108      0.0462808              0              0              0              0        85.7339
     0.109      0.0462797              0              0              0              0         84.168
      0.11      0.0462786              0              0              0              0        82.6446
     0.111      0.0462775              0              0              0              0        81.1622
     0.112      0.0462764              0              0              0              0        79.7194
     0.113      0.0462753              0              0              0              0        78.3147
     0.114      0.0462742              0              0              0              0        76.9468
     0.115      0.0462731              0              0              0              0        75.6144
     0.116       0.046272              0              0              0              0        74.3163
     0.117      0.0462709              0              0              0              0        73.0514
     0.118      0.0462698              0              0              0              0        71.8184
     0.119      0.0462687              0              0              0              0        70.6165
      0.12      0.0462676              0              0              0              0        69.4444
     0.121      0.0462665              0              0              0              0        68.3013
     0.122      0.0462653              0              0              0              0        67.1862
     0.123      0.0462642              0              0              0              0        66.0982
     0.124      0.0462631              0              0              0              0        65.0364
     0.125       0.046262              0              0              0              0             64
     0.126      0.0462609              0              0              0              0        62.9882
     0.127      0.0462598              0              0              0              0        62.0001
     0.128      0.0462586              0              0              0              0        61.0352
     0.129      0.0462575              0              0              0              0        60.0925
      0.13      0.0462564              0              0              0              0        59.1716
     0.131      0.0462553              0              0              0              0        58.2717
     0.132      0.0462542              0              0              0              0        57.3921
     0.133       0.046253              0              0              0              0        56.5323
     0.134      0.0462519              0              0              0              0        55.6917
     0.135      0.0462508              0              0              0              0        54.8697
     0.136      0.0462497              0              0              0              0        54.0657
     0.137      0.0462485              0              0              0              0        53.2793
     0.138      0.0462474              0              0              0              0          52.51
     0.139      0.0462463              0              0              0              0        51.7572
      0.14      0.0462452              0              0              0              0        51.0204
     0.141       0.046244              0              0              0              0        50.2993
     0.142      0.0462429              0              0              0              0        49.5933
     0.143      0.0462418              0              0              0              0        48.9021
     0.144      0.0462406              0              0              0              0        48.2253
     0.145      0.0462395              0              0              0              0        47.5624
     0.146      0.0462383              0              0              0              0        46.9131
     0.147      0.0462372              0              0              0              0         46.277
     0.148      0.0462361              0              0              0              0        45.6538
     0.149      0.0462349              0              0              0              0         45.043
      0.15      0.0462338              0              0              0              0        44.4444
     0.151      0.0462326              0              0              0              0        43.8577
     0.152      0.0462315              0              0              0              0        43.2825
     0.153      0.0462304              0              0              0              0        42.7186
     0.154      0.0462292              0              0              0              0        42.1656
     0.155      0.0462281              0              0              0              0        41.6233
     0.156      0.0462269              0              0              0              0        41.0914
     0.157      0.0462258              0              0              0              0        40.5696
     0.158      0.0462246              0              0              0              0        40.0577
     0.159      0.0462235              0              0              0              0        39.5554
      0.16      0.0462223              0              0              0              0        39.0625
     0.161      0.0462212              0              0              0              0        38.5788
     0.162        0.04622              0              0              0              0        38.1039
     0.163      0.0462188              0              0              0              0        37.6378
     0.164      0.0462177              0              0              0              0        37.1802
     0.165      0.0462165              0              0              0              0        36.7309
     0.166      0.0462154              0              0              0              0        36.2897
     0.167      0.0462142              0              0              0              0        35.8564
     0.168      0.0462131              0              0              0              0        35.4308
     0.169      0.0462119              0              0              0              0        35.0128
      0.17      0.0462107              0              0              0              0        34.6021
     0.171      0.0462096              0              0              0              0        34.1986
     0.172      0.0462084              0              0              0              0        33.8021
     0.173      0.0462072              0              0              0              0        33.4124
     0.174      0.0462061              0              0              0              0        33.0295
     0.175      0.0462049              0              0              0              0        32.6531
     0.176      0.0462037              0              0              0              0        32.2831
     0.177      0.0462026              0              0              0              0        31.9193
     0.178      0.0462014              0              0              0              0        31.5617
     0.179      0.0462002              0              0              0              0          31.21
      0.18       0.046199              0              0              0              0        30.8642
     0.181      0.0461979              0              0              0              0        30.5241
     0.182      0.0461967              0              0              0              0        30.1896
     0.183      0.0461955              0              0              0              0        29.8606
     0.184      0.0461943              0              0              0              0        29.5369
     0.185      0.0461931              0              0              0              0        29.2184
     0.186       0.046192              0              0              0              0        28.9051
     0.187      0.0461908              0              0              0              0        28.5968
     0.188      0.0461896              0              0              0              0        28.2933
     0.189      0.0461884              0              0              0              0        27.9947
      0.19      0.0461872              0              0              0              0        27.7008
     0.191       0.046186              0              0              0              0        27.4115
     0.192      0.0461848              0              0              0              0        27.1267
     0.193      0.0461837              0              0              0              0        26.8464
     0.194      0.0461825              0              0              0              0        26.5703
     0.195      0.0461813              0              0              0              0        26.2985
     0.196      0.0461801              0              0              0              0        26.0308
     0.197      0.0461789              0              0              0              0        25.7672
     0.198      0.0461777              0              0              0              0        25.5076
     0.199      0.0461765              0              0              0              0        25.2519
       0.2      0.0461753              0              0              0              0             25
     0.201      0.0461741              0              0              0              0        24.7519
     0.202      0.0461729              0              0              0              0        24.5074
     0.203      0.0461717              0              0              0              0        24.2665
     0.204      0.0461705              0              0              0              0        24.0292
     0.205      0.0461693              0              0              0              0        23.7954
     0.206      0.0461681              0              0              0              0        23.5649
     0.207      0.0461669              0              0              0              0        23.3378
     0.208      0.0461657              0              0              0              0        23.1139
     0.209      0.0461645              0              0              0              0        22.8932
      0.21      0.0461633              0              0              0              0        22.6757
     0.211      0.0461621              0              0              0              0        22.4613
     0.212      0.0461609              0              0              0              0        22.2499
     0.213      0.0461596              0              0              0              0        22.0415
     0.214      0.0461584              0              0              0              0         21.836
     0.215      0.0461572              0              0              0              0        21.6333
     0.216       0.046156              0              0              0              0        21.4335
     0.217      0.0461548              0              0              0              0        21.2364
     0.218      0.0461536              0              0              0              0         21.042
     0.219      0.0461523              0              0              0              0        20.8503
      0.22      0.0461511              0              0              0              0        20.6612
     0.221      0.0461499              0              0              0              0        20.4746
     0.222      0.0461487              0              0              0              0        20.2906
     0.223      0.0461475              0              0              0              0         20.109
     0.224      0.0461462              0              0              0              0        19.9298
     0.225       0.046145              0              0              0              0        19.7531
     0.226      0.0461438              0              0              0              0        19.5787
     0.227      0.0461426              0              0              0              0        19.4065
     0.228      0.0461413              0              0              0              0        19.2367
     0.229      0.0461401              0              0              0              0         19.069
      0.23      0.0461389              0              0              0              0        18.9036
     0.231      0.0461376              0              0              0              0        18.7403
