------------------------------------
Optical Potential Information
------------------------------------
    r [fm]   V_real [MeV]   V_imag [MeV]  SO_real [MeV]  SO_imag [MeV]  Coulomb [MeV] 1/r^2 [1/fm^2]
         0              0              0              0              0              0              0
       0.1              0              0      0.0222755              0              0            100
       0.2              0              0      0.0122485              0              0             25
       0.3              0              0     0.00897539              0              0        11.1111
       0.4              0              0     0.00739498              0              0           6.25
       0.5              0              0     0.00649507              0              0              4
       0.6              0              0     0.00593839              0              0        2.77778
       0.7              0              0     0.00558044              0              0        2.04082
       0.8              0              0       0.005349              0              0         1.5625
       0.9              0              0     0.00520395              0              0        1.23457
         1              0              0     0.00512116              0              0              1
       1.1              0              0     0.00508522              0              0       0.826446
       1.2              0              0     0.00508574              0              0       0.694444
       1.3              0              0     0.00511538              0              0       0.591716
       1.4              0              0     0.00516872              0              0       0.510204
       1.5              0              0     0.00524156              0              0       0.444444
       1.6              0              0     0.00533051              0              0       0.390625
       1.7              0              0     0.00543266              0              0       0.346021
       1.8              0              0     0.00554541              0              0       0.308642
       1.9              0              0     0.00566635              0              0       0.277008
         2              0              0     0.00579312              0              0           0.25
       2.1              0              0      0.0059234              0              0       0.226757
       2.2              0              0     0.00605482              0              0       0.206612
       2.3              0              0     0.00618495              0              0       0.189036
       2.4              0              0     0.00631129              0              0       0.173611
       2.5              0              0     0.00643129              0              0           0.16
       2.6              0              0     0.00654235              0              0       0.147929
       2.7              0              0     0.00664183              0              0       0.137174
       2.8              0              0     0.00672717              0              0       0.127551
       2.9              0              0     0.00679586              0              0       0.118906
         3              0              0     0.00684554              0              0       0.111111
       3.1              0              0     0.00687408              0              0       0.104058
       3.2              0              0     0.00687964              0              0      0.0976562
       3.3              0              0     0.00686072              0              0      0.0918274
       3.4              0              0     0.00681625              0              0      0.0865052
       3.5              0              0     0.00674561              0              0      0.0816327
       3.6              0              0     0.00664873              0              0      0.0771605
       3.7              0              0       0.006526              0              0       0.073046
       3.8              0              0      0.0063784              0              0      0.0692521
       3.9              0              0     0.00620736              0              0      0.0657462
         4              0              0     0.00601478              0              0         0.0625
       4.1              0              0     0.00580297              0              0      0.0594884
       4.2              0              0     0.00557453              0              0      0.0566893
       4.3              0              0     0.00533233              0              0      0.0540833
       4.4              0              0     0.00507933              0              0      0.0516529
       4.5              0              0     0.00481859              0              0      0.0493827
       4.6              0              0     0.00455309              0              0       0.047259
       4.7              0              0      0.0042857              0              0      0.0452694
       4.8              0              0     0.00401911              0              0      0.0434028
       4.9              0              0     0.00375577              0              0      0.0416493
         5              0              0     0.00349784              0              0           0.04
