------------------------------------
Optical Potential Information
------------------------------------
    r [fm]   V_real [MeV]   V_imag [MeV]  SO_real [MeV]  SO_imag [MeV]  Coulomb [MeV] 1/r^2 [1/fm^2]
         0       0.731132              0              0              0              0              0
       0.1       0.711021              0              0              0              0            100
       0.2       0.690044              0              0              0              0             25
       0.3       0.668255              0              0              0              0        11.1111
       0.4       0.645721              0              0              0              0           6.25
       0.5       0.622522              0              0              0              0              4
       0.6       0.598748              0              0              0              0        2.77778
       0.7         0.5745              0              0              0              0        2.04082
       0.8       0.549889              0              0              0              0         1.5625
       0.9       0.525032              0              0              0              0        1.23457
         1        0.50005              0              0              0              0              1
       1.1       0.475069              0              0              0              0       0.826446
       1.2       0.450211              0              0              0              0       0.694444
       1.3         0.4256              0              0              0              0       0.591716
       1.4       0.401353              0              0              0              0       0.510204
       1.5       0.377579              0              0              0              0       0.444444
       1.6       0.354379              0              0              0              0       0.390625
       1.7       0.331846              0              0              0              0       0.346021
       1.8       0.310057              0              0              0              0       0.308642
       1.9        0.28908              0              0              0              0       0.277008
         2       0.268969              0              0              0              0           0.25
       2.1       0.249765              0              0              0              0       0.226757
       2.2       0.231499              0              0              0              0       0.206612
       2.3       0.214187              0              0              0              0       0.189036
       2.4       0.197836              0              0              0              0       0.173611
       2.5       0.182444              0              0              0              0           0.16
       2.6       0.167999              0              0              0              0       0.147929
       2.7       0.154481              0              0              0              0       0.137174
       2.8       0.141865              0              0              0              0       0.127551
       2.9       0.130122              0              0              0              0       0.118906
         3       0.119215              0              0              0              0       0.111111
       3.1       0.109108              0              0              0              0       0.104058
       3.2      0.0997605              0              0              0              0      0.0976562
       3.3      0.0911321              0              0              0              0      0.0918274
       3.4      0.0831811              0              0              0              0      0.0865052
       3.5      0.0758658              0              0              0              0      0.0816327
       3.6      0.0691454              0              0              0              0      0.0771605
       3.7      0.0629797              0              0              0              0       0.073046
       3.8      0.0573299              0              0              0              0      0.0692521
       3.9      0.0521588              0              0              0              0      0.0657462
         4      0.0474306              0              0              0              0         0.0625
       4.1      0.0431116              0              0              0              0      0.0594884
       4.2      0.0391697              0              0              0              0      0.0566893
       4.3      0.0355748              0              0              0              0      0.0540833
       4.4      0.0322987              0              0              0              0      0.0516529
       4.5      0.0293152              0              0              0              0      0.0493827
